themenbereich;bezeichnung;url
Bau- und Wohnungswesen;Gebäude- und Wohnungsbau;http://www.statistik.bs.ch/dam/jcr:24bf584b-90e5-4af8-82be-9148e0debd8e/t09-1-11.xlsx
Bevölkerung;Wohnbevölkerung am Jahresende nach Gemeinde und Wohnviertel;http://www.statistik.bs.ch/dam/jcr:2d711b31-d8c9-4f5d-9151-55ff4ef4028d/t01-1-16.xlsx
Bau- und Wohnungswesen;Basler Mietpreisindex;http://www.statistik.bs.ch/dam/jcr:311306c7-02e2-4023-b31e-f6bcac2a074b/t09-3-01.xlsx
Bau- und Wohnungswesen;Freihandkäufe von Liegenschaftsparzellen;http://www.statistik.bs.ch/dam/jcr:3e26cbc9-462f-4627-9f24-26165cf248dd/t09-4-02.xlsx
Bau- und Wohnungswesen;Leere Wohnungen nach Wohnviertel;http://www.statistik.bs.ch/dam/jcr:46821755-9b73-47d6-a6d8-d20c442c065a/t09-2-03.xlsx
Bau- und Wohnungswesen;Mietpreisindices nach Basisjahr;http://www.statistik.bs.ch/dam/jcr:65744e44-efbf-41f7-9946-7d0e8ebc498c/t09-3-07.xlsx
Bau- und Wohnungswesen;Brandfälle;http://www.statistik.bs.ch/dam/jcr:6badaf3e-4fd9-42a0-b0fb-73803565586c/t09-5-02.xlsx
Bevölkerung;Wohnbevölkerung nach Alter und Wohnviertel;http://www.statistik.bs.ch/dam/jcr:71d497e1-2581-4585-ae82-28039a2563b4/t01-1-22.xlsx
Bevölkerung;Bevölkerungsbilanz;http://www.statistik.bs.ch/dam/jcr:797f4f19-c119-48b4-97ae-687447f23936/t01-0-02.xlsx
Bau- und Wohnungswesen;Jahresteuerung Basler Mietpreisindex;http://www.statistik.bs.ch/dam/jcr:91222ba7-e3b7-406f-80c6-99f5e79a2126/t09-3-02.xlsx
Bevölkerung;Wohnbevölkerung nach Heimat und Wohnviertel;http://www.statistik.bs.ch/dam/jcr:9bbc4394-5560-4a5a-874d-2738418949c4/t01-1-23.xlsx
Bau- und Wohnungswesen;Wohnungsbilanz;http://www.statistik.bs.ch/dam/jcr:b1bf9e97-132a-4e76-b8e4-45462ad16e83/t09-1-14.xlsx
Bau- und Wohnungswesen;Gebäudebestand;http://www.statistik.bs.ch/dam/jcr:be94f09f-533f-46a6-ae69-4b52670b0df5/t09-1-02.xlsx
Bau- und Wohnungswesen;Durchschnittliche Wohnfläche;http://www.statistik.bs.ch/dam/jcr:da600509-1976-4fb6-9954-895e586beda2/t09-1-15.xlsx
Bau- und Wohnungswesen;Wohnungsbestand;http://www.statistik.bs.ch/dam/jcr:edca14ac-4bd3-4096-89a3-b688cea691b9/t09-1-03.xlsx
Bau- und Wohnungswesen;Gebäudebilanz;http://www.statistik.bs.ch/dam/jcr:fefcb3e8-daff-46ff-a4ff-325a49eca566/t09-1-13.xlsx
Bevölkerung;Wanderungen;http://www.statistik.bs.ch/dms/statistik/tabellen/01/5/t01-4-01.xlsx
Bevölkerung;Gewanderte Personen nach Geschlecht und Heimat;http://www.statistik.bs.ch/dms/statistik/tabellen/01/5/t01-4-03.xlsx
Bevölkerung;Gewanderte Personen nach Alter, Herkunftsort und Wanderziel;http://www.statistik.bs.ch/dms/statistik/tabellen/01/5/t01-4-04.xlsx
Bevölkerung;Gewanderte Personen nach Heimat, Geschlecht und Alter;http://www.statistik.bs.ch/dms/statistik/tabellen/01/5/t01-4-05.xlsx
Bevölkerung;Gewanderte Personen nach Heimat, Herkunftsort und Wanderziel;http://www.statistik.bs.ch/dms/statistik/tabellen/01/5/t01-4-08.xlsx
Bevölkerung;Gewanderte Personen nach Heimat, Herkunftsort und Wanderziel;http://www.statistik.bs.ch/dms/statistik/tabellen/01/5/t01-4-08.xlsx
Bevölkerung;Gewanderte Personen von/nach NWCH nach Wohnviertel und Alter;http://www.statistik.bs.ch/dms/statistik/tabellen/01/5/t01-4-09.xlsx
Bevölkerung;Weggezogene Personen nach Heimat, Geschlecht und Aufenthaltsdauer;http://www.statistik.bs.ch/dms/statistik/tabellen/01/5/t01-4-10.xlsx
Bevölkerung;Innerhalb des Kantons umgezogene Personen nach Heimat;http://www.statistik.bs.ch/dms/statistik/tabellen/01/5/t01-4-12.xlsx
Bevölkerung;Innerhalb des Kantons umgezogene Personen nach Wohnviertelkombination;http://www.statistik.bs.ch/dms/statistik/tabellen/01/5/t01-4-15.xlsx
Arbeit und Erwerb;Index der kantonalen Volkseinkommen;http://www.statistik.bs.ch/dms/statistik/tabellen/04/t04-1-01.xlsx
Arbeit und Erwerb;Volkseinkommen Basel-Stadt nach Komponente;http://www.statistik.bs.ch/dms/statistik/tabellen/04/t04-1-02.xlsx
Arbeit und Erwerb;Bruttoinlandprodukt;http://www.statistik.bs.ch/dms/statistik/tabellen/04/t04-1-03.xlsx
Arbeit und Erwerb;Bruttowertschöpfung Basel-Stadt;http://www.statistik.bs.ch/dms/statistik/tabellen/04/t04-1-04.xlsx
Industrie und Dienstleistungen;Swissbau. Die grösste Fachmesse der Bauwirtschaft in der Schweiz;http://www.statistik.bs.ch/dms/statistik/tabellen/06/1/t06-1-04.xlsx
Industrie und Dienstleistungen;Art Basel (Basel). Die internationale Kunstmesse ;http://www.statistik.bs.ch/dms/statistik/tabellen/06/1/t06-1-05.xlsx
Industrie und Dienstleistungen;Art Basel (Basel). Die internationale Kunstmesse ;http://www.statistik.bs.ch/dms/statistik/tabellen/06/1/t06-1-06.xlsx
Industrie und Dienstleistungen;Basler Herbstwarenmesse;http://www.statistik.bs.ch/dms/statistik/tabellen/06/1/t06-1-07.xlsx
Industrie und Dienstleistungen;Beschäftigte in neugegründeten Unternehmen;http://www.statistik.bs.ch/dms/statistik/tabellen/06/2/t06-2-02.xlsx
Industrie und Dienstleistungen;Neugründungen nach Rechtsform;http://www.statistik.bs.ch/dms/statistik/tabellen/06/2/t06-2-03.xlsx
Land- und Forstwirtschaft;Landwirtschaftliche Betriebe im Kanton Basel-Stadt;http://www.statistik.bs.ch/dms/statistik/tabellen/07/t07-1-01.xlsx
Land- und Forstwirtschaft;Landwirtschaftliche Betriebe im Kanton Basel-Stadt;http://www.statistik.bs.ch/dms/statistik/tabellen/07/t07-1-02.xlsx
Land- und Forstwirtschaft;Nutztierbestand im Kanton Basel-Stadt;http://www.statistik.bs.ch/dms/statistik/tabellen/07/t07-1-03.xlsx
Energie; CO2-Emissionen nach Energieträger in Tonnen;http://www.statistik.bs.ch/dms/statistik/tabellen/08/t08-0-05.xlsx
Energie;Elektrizitätsverbrauch im Kanton Basel-Stadt;http://www.statistik.bs.ch/dms/statistik/tabellen/08/t08-1-07.xlsx
Tourismus;Logiernächte der Auslandgäste nach Herkunftsland;http://www.statistik.bs.ch/dms/statistik/tabellen/10/t10-1-07.xlsx
Bevölkerung;Privathaushalte und ihre Wohnbevölkerung nach Haushaltsgrösse;http://www.statistik-bs.ch/tabellen/t01/1/t01.1.11.xls
Bevölkerung;Wohnbevölkerung in Privathaushalten nach Haushaltsgrösse und Alter;http://www.statistik-bs.ch/tabellen/t01/1/t01.1.11.xls
Bevölkerung;Privathaushalte nach Haushaltstyp;http://www.statistik-bs.ch/tabellen/t01/1/t01.1.11.xls
Bevölkerung;Familienhaushalte nach Anzahl minderjähriger Kinder;http://www.statistik-bs.ch/tabellen/t01/1/t01.1.11.xls
Bevölkerung;Wohnbevölkerung des Kantons Basel-Stadt nach Staatsangehörigkeit ;http://www.statistik-bs.ch/tabellen/t01/1/t01.1.12.xls
Bevölkerung;Wohnbevölkerung nach Heimat und Ausländeranteil;http://www.statistik-bs.ch/tabellen/t01/1/t01.1.17.xls
Bevölkerung;Wohnbevölkerung  am Jahresende nach Heimat und Geschlecht;http://www.statistik-bs.ch/tabellen/t01/1/t01.1.19.xls
Industrie und Dienstleistungen;Neue Unternehmen nach Wirtschaftszweig;http://www.statistik-bs.ch/tabellen/t06/2/t06.2.03.xls
Industrie und Dienstleistungen;Einfuhr nach Basel-Stadt in Netto-Tonnen nach Verkehrsträger;http://www.statistik-bs.ch/tabellen/t06/4/t06.4.02.xls
Industrie und Dienstleistungen;Einfuhr nach Basel-Stadt in Franken nach Verkehrsträger;http://www.statistik-bs.ch/tabellen/t06/4/t06.4.03.xls
Soziale Sicherheit;Plätze, Nutzung und Kosten der Tagesbetreuungsangebote;http://www.statistik-bs.ch/tabellen/t13/6/t13.6.01.xls
Öffentliche Finanzen;Rechnungsergebnisse der Einwohnergemeinde Riehen;http://www.statistik-bs.ch/tabellen/t18/1/t18.1.08.xls
